Symbol,OxidationStates,MainStates
H,−1, 1 ,−1, 1
He,0,0
Li,0, 1 ,1
Be,0, 1, 2 ,2
B,−5, −1, 0, 1, 2, 3 ,3
C,−4, −3, −2, −1, 0, 1, 2, 3, 4 ,−4, −3, −2, −1, 0, 1, 2, 3, 4
N,−3, −2, −1, 0, 1, 2, 3, 4, 5 ,−3, 3, 5
O,−2, −1, 0, 1, 2,−2
F,−1, 0 ,−1
Ne,0,0
Na,−1, 0, 1 ,1
Mg,0, 1, 2 ,2
Al,−2, −1, 0, 1, 2, 3 ,3
Si,−4, −3, −2, −1, 0, 1, 2, 3, 4 ,4
P,−3, −2, −1, 0, 1, 2, 3, 4, 5 ,−3, 3, 5
S,−2, −1, 0, 1, 2, 3, 4, 5, 6 ,−2, 2, 4, 6
Cl,−1, 1, 2, 3, 4, 5, 6, 7 ,−1, 1, 3, 5, 7
Ar,0,0
K,−1, 1 ,1
Ca,1, 2 ,2
Sc,0, 1, 2, 3 ,3
Ti,−2, −1, 0, 1, 2, 3, 4 ,2, 3, 4
V,−3, −1, 0, 1, 2, 3, 4, 5 ,2, 3, 4, 5
Cr,−4, −2, −1, 0, 1, 2, 3, 4, 5, 6 ,2, 3, 6
Mn,−3, −2, −1, 0, 1, 2, 3, 4, 5, 6, 7 ,2, 3, 4, 6, 7
Fe,−4, −2, −1, 0, 1, 2, 3, 4, 5, 6, 7 ,2, 3
Co,−3, −1, 0, 1, 2, 3, 4, 5 ,2, 3
Ni,−2, −1, 0, 1, 2, 3, 4 ,2
Cu,−2, 0, 1, 2, 3, 4 ,1, 2
Zn,−2, 0, 1, 2 ,2
Ga,−5, −4, −3, −2, −1, 0, 1, 2, 3 ,3
Ge,−4, −3, −2, −1, 0, 1, 2, 3, 4 ,2, 4
As,−3, −2, −1, 0, 1, 2, 3, 4, 5 ,−3, 3, 5
Se,−2, −1, 0, 1, 2, 3, 4, 5, 6 ,−2, 2, 4, 6
Br,−1, 1, 2, 3, 4, 5, 7 ,−1, 1, 3, 5
Kr,0, 1, 2 ,0
Rb,−1, 1 ,1
Sr,1, 2 ,2
Y,0,  1, 2, 3 ,3
Zr,−2, 0, 1, 2, 3, 4 ,4
Nb,−3, −1, 0, 1, 2, 3, 4, 5 ,5
Mo,−4, −2, −1, 0, 1, 2, 3, 4, 5, 6 ,4, 6
Tc,−3, −1, 0, 1, 2, 3, 4, 5, 6, 7 ,4, 7
Ru,−4, −2, 0, 1, 2, 3, 4, 5, 6, 7, 8 ,3, 4
Rh,−3, −1, 0, 1, 2, 3, 4, 5, 6, 7 ,3
