Melting temp,Formula,Element1,#El1,phase,atomic_mass,boil,density,melt,electron_affinity,electronegativity_pauling,firstionE,Element2,#El2,phase,atomic_mass,boil,density,melt,electron_affinity,electronegativity_pauling,firstionE
340,SeO2,Se,1,1.0,78.9718,958.0,4.81,494.0,194.9587,2.55,941.0,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
17.5,Br2O,Br,2,10.0,159.808,664.0,6.2056,531.6,649.074,5.92,2279.8,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
-40,BrO2,Br,1,5.0,79.904,332.0,3.1028,265.8,324.537,2.96,1139.9,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
480,Br2O3,Br,2,10.0,159.808,664.0,6.2056,531.6,649.074,5.92,2279.8,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
20,Br2O5,Br,2,10.0,159.808,664.0,6.2056,531.6,649.074,5.92,2279.8,O,5,15.0,79.995,450.94,7.1450000000000005,271.8,704.88,17.2,6569.5
400,Rb2O,Rb,2,2.0,170.93566,1922.0,3.064,624.9,93.768,1.64,806.0,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
2710,SrO,Sr,1,1.0,87.621,1650.0,2.64,1050.0,5.023,0.95,549.5,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
215,SrO2,Sr,1,1.0,87.621,1650.0,2.64,1050.0,5.023,0.95,549.5,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
2410,Y2O3,Y,2,2.0,177.811684,6406.0,8.944,3598.0,59.2,2.44,1200.0,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
2715,ZrO2,Zr,1,1.0,91.2242,4650.0,6.52,2128.0,41.806,1.33,640.1,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
1550,Nb2O5,Nb,2,2.0,185.812744,10034.0,17.14,5500.0,177.032,3.2,1304.2,O,5,15.0,79.995,450.94,7.1450000000000005,271.8,704.88,17.2,6569.5
1310,MoO2,Mo,1,1.0,95.951,4912.0,10.28,2896.0,72.1,2.16,684.3,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
740,Mo2O5,Mo,2,2.0,191.902,9824.0,20.56,5792.0,144.2,4.32,1368.6,O,5,15.0,79.995,450.94,7.1450000000000005,271.8,704.88,17.2,6569.5
795,MoO3,Mo,1,1.0,95.951,4912.0,10.28,2896.0,72.1,2.16,684.3,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
119.5,Tc2O7,Tc,2,2.0,196.0,9076.0,22.0,4860.0,106.0,3.8,1404.0,O,7,21.0,111.99300000000001,631.316,10.003,380.52,986.832,24.08,9197.300000000001
1950,RuO2,Ru,1,1.0,101.072,4423.0,12.45,2607.0,100.96,2.2,710.2,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
1100,Rh2O3,Rh,2,2.0,205.811004,7936.0,24.82,4474.0,220.54,4.56,1439.4,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
350,PdO,Pd,1,1.0,106.421,3236.0,12.023,1828.05,54.24,2.2,804.4,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
300,Ag2O,Ag,2,2.0,215.73644,4870.0,20.98,2469.86,251.724,3.86,1462.0,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
862,CdO,Cd,1,1.0,112.4144,1040.0,8.65,594.22,-68.0,1.69,867.8,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
1913,In2O3,In,2,2.0,229.6362,4690.0,14.62,859.497,74.086,3.56,1116.6,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
113,SnO,Sn,1,1.0,118.7107,2875.0,7.365,505.08,107.2984,1.96,708.6,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
1127,SnO2,Sn,1,1.0,118.7107,2875.0,7.365,505.08,107.2984,1.96,708.6,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
656,Sb2O3,Sb,2,2.0,243.5202,3816.0,13.394,1807.56,202.118,4.1,1668.0,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
380,Sb2O5,Sb,2,2.0,243.5202,3816.0,13.394,1807.56,202.118,4.1,1668.0,O,5,15.0,79.995,450.94,7.1450000000000005,271.8,704.88,17.2,6569.5
733,TeO2,Te,1,1.0,127.603,1261.0,6.24,722.66,190.161,2.1,869.3,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
75,I4O9,I,4,4.0,507.617892,1829.6,19.732,1547.4,1180.6124,10.64,4033.6,O,9,27.0,143.991,811.692,12.861,489.24,1268.784,30.96,11825.1
130,IO2,I,1,1.0,126.904473,457.4,4.933,386.85,295.1531,2.66,1008.4,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
100,I2O4,I,2,2.0,253.808946,914.8,9.866,773.7,590.3062,5.32,2016.8,O,4,12.0,63.996,360.752,5.716,217.44,563.904,13.76,5255.6
300,I2O5,I,2,2.0,253.808946,914.8,9.866,773.7,590.3062,5.32,2016.8,O,5,15.0,79.995,450.94,7.1450000000000005,271.8,704.88,17.2,6569.5
75,I4O9,I,4,4.0,507.617892,1829.6,19.732,1547.4,1180.6124,10.64,4033.6,O,9,27.0,143.991,811.692,12.861,489.24,1268.784,30.96,11825.1
