number,symbol,atomic_mass,boil,density,melt,electron_affinity,electronegativity_pauling,period,group,Gas,Solid,Liquid,ionization_energies,oxidationstates,,category,molar_heat,block,shells,electron_configuration,electron_configuration_semantic,xpos,ypos,wxpos,wypos
95,Am,243,2880,12,1449,9.93,1.13,7,3,0,1,0,[578],,,actinide,62.7,f,"[2, 8, 18, 32, 25, 8, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f7,[Rn] 5f7 7s2,9,10,9,7
96,Cm,247,3383,13.51,1613,27.17,1.28,7,3,0,1,0,[581],,,actinide,,f,"[2, 8, 18, 32, 25, 9, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f7 6d1,[Rn] 5f7 6d1 7s2,10,10,10,7
97,Bk,247,2900,14.78,1259,-165.24,1.3,7,3,0,1,0,[601],,,actinide,,f,"[2, 8, 18, 32, 27, 8, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f9,[Rn] 5f9 7s2,11,10,11,7
98,Cf,251,1743,15.1,1173,-97.31,1.3,7,3,0,1,0,[608],,,actinide,,f,"[2, 8, 18, 32, 28, 8, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f10,[Rn] 5f10 7s2,12,10,12,7
99,Es,252,1269,8.84,1133,-28.6,1.3,7,3,0,1,0,[619],,,actinide,,f,"[2, 8, 18, 32, 29, 8, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f11,[Rn] 5f11 7s2,13,10,13,7
100,Fm,257,,,1800,33.96,1.3,7,3,0,1,0,[627],,,actinide,,f,"[2, 8, 18, 32, 30, 8, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f12,[Rn] 5f12 7s2,14,10,14,7
101,Md,258,,,1100,93.91,1.3,7,3,0,1,0,[635],,,actinide,,f,"[2, 8, 18, 32, 31, 8, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f13,[Rn] 5f13 7s2,15,10,15,7
102,No,259,,,1100,-223.22,1.3,7,3,0,1,0,[642],,,actinide,,f,"[2, 8, 18, 32, 32, 8, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14,[Rn] 5f14 7s2,16,10,16,7
103,Lr,266,,,1900,-30.04,1.3,7,3,0,1,0,[470],,,actinide,,d,"[2, 8, 18, 32, 32, 8, 3]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 7p1,[Rn] 5f14 7s2 7p1,17,10,17,7
104,Rf,267,5800,23.2,2400,,,7,4,0,1,0,[580],,,transition metal,,d,"[2, 8, 18, 32, 32, 10, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d2,[Rn] 5f14 6d2 7s2,4,7,18,7
105,Db,268,,29.3,,,,7,5,0,1,0,[],,,transition metal,,d,"[2, 8, 18, 32, 32, 11, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d3,*[Rn] 5f14 6d3 7s2,5,7,19,7
106,Sg,269,,35,,,,7,6,0,1,0,[],,,transition metal,,d,"[2, 8, 18, 32, 32, 12, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d4,*[Rn] 5f14 6d4 7s2,6,7,20,7
107,Bh,270,,37.1,,,,7,7,0,1,0,[],,,transition metal,,d,"[2, 8, 18, 32, 32, 13, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d5,*[Rn] 5f14 6d5 7s2,7,7,21,7
108,Hs,269,,40.7,126,,,7,8,0,1,0,[],,,transition metal,,d,"[2, 8, 18, 32, 32, 14, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d6,*[Rn] 5f14 6d6 7s2,8,7,22,7
109,Mt,278,,37.4,,,,7,9,0,1,0,[],,,"unknown, probably transition metal",,d,"[2, 8, 18, 32, 32, 15, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d7,*[Rn] 5f14 6d7 7s2,9,7,23,7
110,Ds,281,,34.8,,,,7,10,0,1,0,[],,,"unknown, probably transition metal",,d,"[2, 8, 18, 32, 32, 16, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d8,*[Rn] 5f14 6d9 7s1,10,7,24,7
111,Rg,282,,28.7,,151,,7,11,0,1,0,[],,,"unknown, probably transition metal",,d,"[2, 8, 18, 32, 32, 17, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d9,*[Rn] 5f14 6d10 7s1,11,7,25,7
112,Cn,285,3570,14,,,,7,12,0,0,1,[],,,transition metal,,d,"[2, 8, 18, 32, 32, 18, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d10,*[Rn] 5f14 6d10 7s2,12,7,26,7
113,Nh,286,1430,16,700,66.6,,7,13,0,1,0,[],,,"unknown, probably transition metal",,p,"[2, 8, 18, 32, 32, 18, 3]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d10 7p1,*[Rn] 5f14 6d10 7s2 7p1,13,7,27,7
114,Fl,289,420,14,340,,,7,14,0,1,0,[],,,post-transition metal,,p,"[2, 8, 18, 32, 32, 18, 4]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d10 7p2,*[Rn] 5f14 6d10 7s2 7p2,14,7,28,7
115,Mc,289,1400,13.5,670,35.3,,7,15,0,1,0,[],,,"unknown, probably post-transition metal",,p,"[2, 8, 18, 32, 32, 18, 5]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d10 7p3,*[Rn] 5f14 6d10 7s2 7p3,15,7,29,7
116,Lv,293,1085,12.9,709,74.9,,7,16,0,1,0,[],,,"unknown, probably post-transition metal",,p,"[2, 8, 18, 32, 32, 18, 6]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d10 7p4,*[Rn] 5f14 6d10 7s2 7p4,16,7,30,7
117,Ts,294,883,7.17,723,165.9,,7,17,0,1,0,[],,,"unknown, probably metalloid",,p,"[2, 8, 18, 32, 32, 18, 7]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d10 7p5,*[Rn] 5f14 6d10 7s2 7p5,17,7,31,7
118,Og,294,350,4.95,,5.40318,,7,18,0,1,0,[],,,"unknown, predicted to be noble gas",,p,"[2, 8, 18, 32, 32, 18, 8]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d10 7p6,*[Rn] 5f14 6d10 7s2 7p6,18,7,32,7
119,Uue,315,630,3,,63.87,,8,1,0,1,0,[],,,"unknown, but predicted to be an alkali metal",,s,"[2, 8, 18, 32, 32, 18, 8, 1]",1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d10 7p6 8s1,*[Uuo] 8s1,1,8,1,8
