mp-11107,Ac2O3,-3.73843166625,-8.354914896
mp-30274,AcBrO,-3.424582797083333,-6.964880146666666
mp-30273,AcClO,-3.5868484470833333,-7.225648573333333
mp-554873,Ag2B8O13,-2.5122775926268113,-7.877808002173913
mp-23558,Ag2BiO3,-0.9296655057638888,-4.9872767174999995
mp-4691,Ag2CO3,-1.0939820153472226,-6.0496226208333335
mp-1196546,Ag2Ge(S2O7)3,-1.6017198524166665,-6.234629919055555
mp-983589,Ag2GeO3,-1.2041206586805557,-5.39215499125
mp-690687,Ag2H2IOF,-1.058044229940476,-4.026915390714286
mp-860963,Ag2H4(SO4)3,-1.4516601428670637,-5.7852615867857144
mp-558763,Ag2Hg(SeO3)2,-0.9171986025473483,-4.793630202045454
mp-553949,Ag2Hg2(TeO4)3,-1.1075629870175432,-5.058229037105263
mp-29816,Ag2HgO2,-0.46020713666666635,-3.6326410955
mp-27966,Ag2Mo2O7,-1.5101678695075769,-7.145007251818183
mp-556429,Ag2Mo3SeO12,-1.5514386157320592,-7.165785190694444
mp-353,Ag2O,-0.322979072361111,-3.8602459783333334
mp-1195759,Ag2P2H2O7,-1.8189658958653838,-6.273118979615385
mp-1190325,Ag2P2PdO7,-1.7886009680208332,-6.480135952083334
mp-707138,Ag2PHO4,-1.5772494337500003,-5.859486359166667
mp-1192057,Ag2S2O7,-1.4084118841666666,-5.823396676818183
mp-5625,Ag2SO4,-1.260441421636904,-5.48734381
mp-11641,Ag2SeO4,-0.8438055593824403,-4.979202463571428
mp-1197599,Ag2Sn(S2O7)3,-1.6184461810833342,-6.23090771438889
mp-558768,Ag2TeO4,-0.9681715428571432,-5.053196220714286
mp-1605,Ag3O4,-0.40662248571428555,-4.447254322142857
mp-1201018,Ag3S4(O3F)4,-1.640960574347827,-5.643119177934784
mp-558550,Ag4Mo2Se3O16,-1.2297019830479166,-6.1359531049
mp-553924,Ag4PIO4,-1.2376898427500003,-5.03805461425
mp-554357,Ag4TeO5,-0.7760534312083329,-4.6967507775
mp-1199607,Ag4TeSO4,-0.971798150645833,-4.8114716125
mp-22286,Ag5(PbO3)2,-0.806839475064103,-4.750547661538461
mp-28812,Ag5BiO4,-0.6691937328333324,-4.448196132
mp-5563,Ag5GeO4,-0.8211538005833333,-4.67841007225
mp-1194068,Ag5HgSbO6,-0.8139115162179482,-4.527418738461538
mp-1191916,Ag5PSeO4,-1.1415427008191288,-5.037792595909091
mp-558786,Ag6GeSO8,-1.0883077539453119,-5.1713279684375
mp-1195618,Ag9P14(OF)28,-2.3736009291983127,-6.086359589050633
mp-985701,AgAs3H2O9,-1.4202989233611116,-5.961336370666667
mp-24058,AgBH2OF4,-2.1660783341203707,-5.376078828055556
mp-1195262,AgBi(IO3)4,-0.9408313234259261,-4.936763271666667
mp-22993,AgClO4,-0.41664676861111083,-4.494621353333334
mp-24072,AgH5S2O9,-1.4507285731862747,-5.720686476911765
mp-558188,AgHg2AsO4,-1.0592582958333328,-4.544982043749999
mp-560443,AgHg2NO5,-0.6843698414351849,-4.741020420833333
mp-556798,AgHg2PO4,-1.5120194459374998,-5.0920162065625
mp-1194592,AgI3O8,-0.7673961776388888,-4.669576572916667
mp-27384,AgIO3,-0.7260376295833332,-4.555235327
mp-14973,AgMo2P3O13,-2.2641889117324574,-7.794226648026317
mp-14029,AgMoPO6,-1.9833486750000004,-7.402419884722223
mp-552185,AgNO3,-0.6838598205833335,-5.885683233
mp-1194585,AgP(OF)2,-2.26504271375,-5.925408358333333
mp-18702,AgPO3,-1.9613220727500007,-6.5785070015
mp-1202574,AgS2(O3F)2,-1.6758635289015154,-5.731185887045455
mp-545999,AgSbO3,-1.4305512215833338,-5.790875897
mp-1199019,AgSbS(OF3)2,-2.144159210662879,-5.095091786818181
mp-559257,AgTeO3,-1.1492649784166666,-5.3124505845000005
mp-555903,Al(IO3)3,-1.3143609595192312,-5.367120442692308
mp-1019377,Al(PO3)3,-2.842534812788463,-7.8045103321153855
mp-19521,Al2(MoO4)3,-2.404884348382354,-8.251258849852942
mp-4417,Al2(SO4)3,-2.3360224349632364,-6.998420422941177
mp-572634,Al2AgCl5O,-2.00668492087963,-4.730360440277778
mp-1199198,Al2B3HO8,-2.917117881071429,-7.952515217321428
mp-30084,Al2FeO4,-2.904289527857142,-8.011136344285713
mp-561437,Al2Ge(O2F)2,-3.1730694913888886,-7.1423908575
mp-9751,Al2Ge2O7,-2.70317696875,-7.372634091363636
mp-707424,Al2H12(SeO5)3,-1.6123581340087902,-5.765230924687501
mp-850293,Al2H16S3O20,-1.734740398338415,-5.957128013109757
mp-1143,Al2O3,-3.4273143842500007,-7.893557943
mp-23995,Al2P3(HO3)3,-2.4504341916911767,-7.063930410294118
mp-21892,Al2PbO4,-2.8945106149999993,-7.321732554285714
mp-6280,Al2Si(O2F)2,-3.530869720833333,-7.589334439722222
mp-1195073,Al2Si2PbO8,-3.1060892125961534,-7.846700326442307
mp-706243,Al2Si3H8(NO5)2,-2.2000299666000007,-6.881981609500001
mp-4753,Al2SiO5,-3.3756251982812495,-8.0818643540625
mp-560633,Al2SnCl6O,-2.081368187625,-4.83523140625
mp-2908,Al2ZnO4,-3.0217996535714287,-7.098606812857143
mp-31408,Al4(B2O5)3,-3.0842364290500006,-8.2545958136
mp-23426,Al4Bi2O9,-2.8652547942500006,-7.344153459666668
mp-13703,Al4CO4,-2.5955425425000005,-7.484178504444445
mp-1190488,Al4CdO7,-3.0981172209374996,-7.3091183925
mp-1204107,Al4Fe2Si5O18,-3.1054365526724146,-8.211965266206898
