0,1,2,3,4,5,6,7,8,9
Sm,Pd,Pb,O,,,,,,
Co,Pb,W,O,O,,,,,
P,H,C,N,Cl,O,O,,,
Ce,S,Sn,Ba,O,,,,,
Os,O,F,O,,,,,,
Er,Zn,O,,,,,,,
Rb,Nb,Br,O,,,,,,
Yb,Cl,O,,,,,,,
Cd,I,O,,,,,,,
Au,F,O,,,,,,,
Zr,Ir,N,O,,,,,,
Sb,S,F,O,,,,,,
Ca,Si,Pt,O,,,,,,
Li,Ca,O,,,,,,,
Hg,N,Cl,O,O,,,,,
K,P,O,O,,,,,,
Y,Si,Ir,O,,,,,,
P,S,O,,,,,,,
Na,Sr,La,Zn,Si,O,O,,,
Nb,Ga,O,,,,,,,
Ge,Pd,O,,,,,,,
Mg,O,S,Na,O,,,,,
Cr,H,N,O,O,,,,,
Tb,Ni,Au,O,,,,,,
H,O,C,Zn,O,,,,,
Sm,Si,F,O,K,O,,,,
Gd,Fe,P,O,,,,,,
Pr,Fe,Ga,O,,,,,,
Sb,Pt,Se,O,,,,,,
P,O,Gd,K,O,,,,,
U,O,,,,,,,,
N,Mg,Cl,O,,,,,,
Hg,As,O,O,,,,,,
Tm,Ge,Ru,O,,,,,,
Mg,Si,O,O,,,,,,
Si,Pd,O,,,,,,,
Pr,Al,Co,O,,,,,,
Tb,Fe,Si,O,,,,,,
Ta,Al,Ni,O,,,,,,
Sn,H,C,S,N,Cl,O,,,
W,Si,V,Na,O,O,,,,
Na,Li,Yb,F,O,,,,,
La,Dy,S,O,,,,,,
Sr,O,Cu,Zn,O,,,,,
Y,B,C,O,O,,,,,
Sr,Li,O,,,,,,,
V,Pb,O,O,,,,,,
Li,O,Cu,O,,,,,,
U,Mn,O,O,,,,,,
N,Cr,Pd,H,O,O,,,,
Sr,Gd,Ru,O,O,,,,,
Li,Mg,Al,H,O,,,,,
Bi,Se,Br,O,,,,,,
Cd,I,O,,,,,,,
Ca,In,Os,O,O,,,,,
Si,V,O,La,O,,,,,
O,B,Ba,O,,,,,,
Mn,Co,Si,O,,,,,,
H,Ru,C,N,Cl,O,,,,
Ce,Al,O,O,,,,,,
Tm,Ru,O,,,,,,,
Rb,Sb,Se,O,,,,,,
Tb,Al,Ge,O,,,,,,
K,V,Ag,O,O,,,,,
K,Sc,F,O,,,,,,
Zn,Cu,P,O,O,,,,,
As,O,O,,,,,,,
N,P,Sr,Ba,O,,,,,
Cs,Tb,S,O,,,,,,
La,Co,Sb,O,,,,,,
H,Se,N,O,O,,,,,
Cd,Hg,O,,,,,,,
Eu,Cu,As,O,,,,,,
Bi,Se,O,,,,,,,
Yb,Cu,Pd,O,,,,,,
B,P,Cl,O,,,,,,
K,Hg,Se,O,,,,,,
N,H,O,Mo,O,,,,,
Na,Lu,Mo,P,O,O,,,,
P,H,S,N,O,O,,,,
Cd,H,O,C,O,,,,,
Sr,Fe,O,O,,,,,,
K,H,C,O,O,,,,,
Pr,Al,Ru,O,,,,,,
Gd,Se,O,,,,,,,
Fe,Ag,O,O,,,,,,
Cd,Ge,S,O,,,,,,
V,Cu,H,O,O,,,,,
Tl,P,Ce,Se,O,,,,,
Cs,P,S,O,O,,,,,
Cr,Fe,Cu,S,O,,,,,
Mg,B,Rh,O,,,,,,
Mg,B,H,O,O,,,,,
Ca,As,Rh,O,,,,,,
Rb,Sm,Cu,S,O,,,,,
Ca,Ti,O,O,,,,,,
Tl,Sb,O,,,,,,,
H,Ru,N,Cl,O,O,,,,
K,Re,H,O,,,,,,
Gd,Co,Si,O,,,,,,
Cs,Tl,F,O,,,,,,
Cd,Ag,Ge,S,O,,,,,
Na,Mn,Te,O,,,,,,
Ta,Fe,Si,O,,,,,,
Mn,Zn,N,O,,,,,,
La,Ni,B,O,,,,,,
Mg,Ge,N,O,,,,,,
Mg,Si,H,O,O,,,,,
Fe,Na,As,O,O,,,,,
Sm,P,Ru,O,,,,,,
Y,Al,Cr,O,,,,,,
K,Sb,H,O,O,,,,,
Na,Cd,Sn,S,O,,,,,
Cs,Na,Tl,O,O,,,,,
Ga,U,P,O,Cs,O,,,,
U,Te,O,Tl,O,,,,,
Pd,La,Sb,O,,,,,,
Ho,In,O,,,,,,,
Si,Ca,O,Al,O,,,,,
Ce,Pd,O,,,,,,,
Na,V,H,O,O,,,,,
Bi,S,O,,,,,,,
Rb,Cr,F,O,,,,,,
Cs,U,C,O,O,,,,,
Cd,I,O,,,,,,,
Cs,U,O,O,,,,,,
Pr,Ru,O,Ba,O,,,,,
U,P,O,K,O,,,,,
Ba,Ga,F,O,,,,,,
Na,Sc,S,O,,,,,,
Si,Ce,Ni,O,,,,,,
Bi,C,O,O,,,,,,
K,Ge,S,O,,,,,,
N,Cd,C,O,,,,,,
Ba,Al,Ge,O,,,,,,
Ta,Si,O,,,,,,,
Na,Mn,Se,O,,,,,,
Na,Cr,O,O,,,,,,
Th,Sb,Te,O,,,,,,
Tl,Te,O,O,,,,,,
Ce,Cd,Pd,O,,,,,,
Ca,P,O,O,,,,,,
Ti,O,O,,,,,,,
O,Br,Sr,O,,,,,,
Os,C,S,O,O,,,,,
Ca,Zr,O,O,,,,,,
K,Yb,V,O,O,,,,,
V,P,O,O,,,,,,
N,C,Na,Ba,O,,,,,
Ba,I,O,O,,,,,,
Sr,Mn,V,O,O,,,,,
Ag,H,C,S,O,F,O,,,
K,H,B,O,,,,,,
Cd,P,O,Cs,O,,,,,
U,Hg,O,,,,,,,
Sb,P,O,F,O,,,,,
La,Ru,O,,,,,,,
Dy,Zn,O,,,,,,,
Cs,Na,C,O,,,,,,
Sb,Pb,S,O,,,,,,
Pr,Fe,P,O,O,,,,,
Er,Co,O,O,,,,,,
Zn,Te,Cl,O,O,,,,,
Ba,Ti,O,O,,,,,,
Na,Ho,S,O,,,,,,
Pr,Mn,O,Cu,O,,,,,
Er,Ge,Pt,O,,,,,,
N,H,O,Se,O,,,,,
Sc,Te,Os,O,,,,,,
Ca,Fe,P,H,O,O,,,,
Zn,N,O,,,,,,,
Zn,Si,O,O,,,,,,
V,P,O,O,,,,,,
Mn,Cu,As,O,,,,,,
Sm,In,Pt,O,,,,,,
In,Te,O,,,,,,,
Ge,S,Ba,Rh,O,,,,,
Cr,N,O,,,,,,,
Pr,Mg,Al,Fe,O,,,,,
K,Sr,P,O,O,,,,,
P,H,C,N,O,F,O,,,
Cr,Si,Ca,O,O,,,,,
Ni,Li,O,S,O,,,,,
Ce,Co,O,,,,,,,
Cs,P,Pb,O,O,,,,,
Ti,H,Th,O,,,,,,
H,C,S,O,F,O,,,,
Dy,In,Pt,O,,,,,,
Sn,O,S,Cl,O,,,,,
Ta,As,O,,,,,,,
Er,Cu,P,O,,,,,,
K,Si,Pb,O,O,,,,,
Cs,La,Cu,Se,O,,,,,
Gd,Mo,C,O,,,,,,
Er,In,Pt,O,,,,,,
Eu,Pb,O,,,,,,,
Te,Br,O,O,,,,,,
Mn,N,F,O,,,,,,
Y,Ni,Ge,O,,,,,,
Na,P,H,O,O,,,,,
S,Cu,H,O,K,O,,,,
Tb,Co,Si,O,,,,,,
Na,Re,N,O,,,,,,
Fe,Ge,Sc,O,,,,,,
Dy,Sn,Pd,O,,,,,,
Sm,Sb,O,,,,,,,
K,Te,O,O,,,,,,
Sn,Mo,S,O,,,,,,
Cr,O,Cu,H,Rb,O,,,,
H,O,Br,Cu,O,,,,,
Cs,H,C,O,O,,,,,
Be,H,O,,,,,,,
B,O,,,,,,,,
N,S,Cu,H,O,I,O,,,
Sr,Cu,P,O,,,,,,
C,F,O,,,,,,,
Pr,Sb,Pd,O,,,,,,
Fe,C,S,O,O,,,,,
Na,U,W,O,O,,,,,
V,H,O,C,O,,,,,
Rb,Ga,B,P,H,O,O,,,
Zr,Se,O,,,,,,,
Ba,Y,Re,O,O,,,,,
Ca,Si,H,C,S,O,O,,,
U,B,Ru,O,,,,,,
Ag,Bi,Se,O,,,,,,
U,Si,O,K,O,,,,,
Sm,H,O,,,,,,,
Co,Gd,B,O,,,,,,
V,P,O,Rb,O,,,,,
K,Mn,Sn,Se,O,,,,,
N,Bi,Br,O,,,,,,
Na,Cr,N,O,O,,,,,
Ce,Ni,Sn,O,,,,,,
Sc,Ge,Rh,O,,,,,,
Tb,Sn,O,,,,,,,
Bi,C,O,O,,,,,,
Ho,Al,Ge,O,,,,,,
Nb,Se,Cl,O,,,,,,
Si,Ba,Al,O,,,,,,
Nd,Fe,Si,O,,,,,,
Ti,Pd,O,,,,,,,
La,Ti,Nb,Bi,O,O,,,,
W,O,K,Zn,O,,,,,
Sm,Ga,Co,Se,O,,,,,
N,Ce,B,O,,,,,,
Ir,Ge,Ba,O,,,,,,
Li,Mo,O,O,,,,,,
Yb,Ge,O,,,,,,,
N,U,H,O,C,O,,,,
Ga,P,Pd,O,,,,,,
Nd,Rh,C,O,,,,,,
Li,Fe,Ge,O,,,,,,
Li,Sn,O,,,,,,,
Eu,Hg,O,,,,,,,
Ce,Al,Ru,O,,,,,,
Ni,Sn,P,O,,,,,,
Ba,Fe,O,O,,,,,,
Ge,Au,Eu,O,,,,,,
Cu,Ge,O,O,,,,,,
Ge,Ru,O,,,,,,,
Co,P,H,C,I,O,,,,
Tb,Ni,I,O,,,,,,
Eu,B,O,O,,,,,,
Ba,Gd,B,Cl,O,O,,,,
In,Cu,Te,O,,,,,,
Pr,Cu,O,,,,,,,
La,Ge,Br,O,,,,,,
Bi,P,O,K,O,,,,,
Ca,Au,O,,,,,,,
In,Cu,O,,,,,,,
V,O,Na,F,O,,,,,
Tl,B,S,O,,,,,,
Te,Hg,Cl,O,,,,,,
Er,Co,Si,O,,,,,,
Cd,I,O,,,,,,,
Sr,P,O,,,,,,,
F,Zr,H,O,K,Zn,O,,,
Pr,Ni,Sn,O,,,,,,
Cd,P,O,O,,,,,,
N,Ir,O,Tl,O,,,,,
Dy,P,O,O,,,,,,
Si,O,O,,,,,,,
Fe,P,O,O,,,,,,
Ce,Ge,Ru,O,,,,,,
Ba,Na,Li,N,O,,,,,
Mo,Y,O,O,,,,,,
Pr,Ru,O,Cu,O,,,,,
Rb,Sb,S,O,,,,,,
H,O,As,O,,,,,,
Si,La,Pt,O,,,,,,
Zr,P,Os,O,,,,,,
Ge,Ca,Cu,O,,,,,,
Pr,Hg,O,,,,,,,
Ni,V,P,O,O,,,,,
Rb,B,P,O,,,,,,
Ca,Co,Sn,O,,,,,,
Co,Te,O,O,,,,,,
Rb,Y,O,O,,,,,,
U,Ni,As,O,,,,,,
Ti,Nb,O,O,,,,,,
Cr,P,H,N,O,O,,,,
Ge,Ru,Ce,O,,,,,,
Mo,O,K,O,,,,,,
Mo,O,Tl,O,,,,,,
O,C,Co,O,,,,,,
K,C,N,O,O,,,,,
Ce,Si,S,Br,O,,,,,
Ba,B,As,O,O,,,,,
Sm,Fe,B,O,,,,,,
Na,Se,O,O,,,,,,
Nd,Mn,O,,,,,,,
Sc,Br,O,O,,,,,,
Na,Be,Si,O,O,,,,,
Ca,H,Cl,O,,,,,,
Tb,Al,Si,O,,,,,,
Nb,B,O,,,,,,,
Lu,Sn,O,O,,,,,,
Cs,Ti,S,O,,,,,,
F,Sb,Os,O,C,O,,,,
Fe,O,Sr,Ba,O,,,,,
Y,Ga,Ni,O,,,,,,
Ca,B,As,O,O,,,,,
Fe,H,S,O,O,,,,,
Ce,O,,,,,,,,
Pt,Pb,O,,,,,,,
U,Sb,O,,,,,,,
Cs,Ir,O,O,,,,,,
Sr,Sb,O,,,,,,,
P,O,Nb,Co,O,,,,,
Al,Si,O,O,,,,,,
P,Pb,O,O,,,,,,
Pr,Fe,C,O,,,,,,
Ca,In,Cu,O,,,,,,
Na,Ho,Ge,O,O,,,,,
Zn,B,P,Pb,O,O,,,,
Cu,S,N,O,O,,,,,
K,Sb,O,O,,,,,,
H,Cu,Ca,O,C,O,,,,
Yb,Pt,O,,,,,,,
Ti,Al,Ni,O,,,,,,
V,P,C,O,,,,,,
S,Ba,Ga,O,,,,,,
V,O,Cl,Cs,O,,,,,
B,H,C,N,O,,,,,
Y,Mg,Cu,O,,,,,,
Tm,Pb,C,O,,,,,,
Hf,O,F,O,,,,,,
Te,P,O,O,,,,,,
Tb,Ni,P,O,,,,,,
Ba,Mg,Ge,O,,,,,,
Bi,Br,O,,,,,,,
Ca,Al,N,O,,,,,,
Pu,Fe,C,O,,,,,,
Sm,Te,Ba,O,,,,,,
Cd,O,Rh,O,,,,,,
O,Co,K,Se,O,,,,,
Zn,Cl,O,,,,,,,
Ca,B,H,Cl,O,O,,,,
Cu,Na,As,O,O,,,,,
Cs,Re,C,S,N,O,,,,
Sb,I,Cl,F,O,,,,,
Sb,Os,O,,,,,,,
B,N,O,,,,,,,
V,Bi,O,O,,,,,,
Mg,Ga,Cu,O,,,,,,
Th,Se,O,,,,,,,
Ce,Sn,Pd,O,,,,,,
Fe,As,Ba,O,,,,,,
Li,B,H,O,,,,,,
Cs,Hg,Cl,O,,,,,,
N,H,O,C,O,,,,,
Cl,Na,Te,Y,O,O,,,,
Tb,Si,Se,O,O,,,,,
K,Cl,O,O,,,,,,
Pr,Se,O,,,,,,,
Y,Co,B,O,,,,,,
