0,1,2,3,4,5,6,7,8,9
Si,O,K,Al,O,,,,,
N,Cl,Mo,P,H,C,O,,,
Sb,I,F,O,,,,,,
Nb,Ag,P,S,O,,,,,
Sm,Zn,Ni,O,,,,,,
Rb,U,Cl,O,,,,,,
Fe,O,Sr,O,,,,,,
Gd,In,Ni,O,,,,,,
Se,N,Cl,O,,,,,,
N,Nd,H,O,O,,,,,
U,As,O,,,,,,,
Er,C,Al,O,,,,,,
B,Pd,O,,,,,,,
Al,Ag,S,O,,,,,,
K,Na,Fe,O,O,,,,,
Sm,Si,Cu,O,,,,,,
Sm,In,Fe,O,,,,,,
Cs,Ru,Cl,O,,,,,,
K,Nb,Cu,Se,O,,,,,
I,S,Sn,O,,,,,,
K,Cr,O,O,,,,,,
N,S,Cl,Se,O,,,,,
V,Cu,Bi,O,O,,,,,
Fe,S,O,O,,,,,,
Cu,Se,O,O,,,,,,
Na,Yb,P,O,O,,,,,
P,O,Cu,O,,,,,,
Ca,B,O,O,,,,,,
Pr,Cu,Bi,O,,,,,,
La,Ni,C,O,,,,,,
Pr,Sn,Ir,O,,,,,,
Rb,Cu,Se,O,,,,,,
Hg,S,O,O,,,,,,
Zn,Ni,O,,,,,,,
Sr,Mn,O,O,,,,,,
Ba,La,Cu,Te,O,,,,,
Sb,Te,O,,,,,,,
Ba,Nd,Fe,O,O,,,,,
Rb,Ti,S,O,,,,,,
Ce,Ga,Ni,O,,,,,,
Al,P,S,O,,,,,,
Y,C,O,O,,,,,,
Sr,Co,W,O,O,,,,,
O,I,Sr,O,,,,,,
V,O,Sr,Se,O,,,,,
Ba,H,Cl,O,O,,,,,
Cu,P,O,,,,,,,
Tl,C,O,O,,,,,,
Lu,Os,O,,,,,,,
Ta,Tl,V,O,O,,,,,
Sr,Mg,F,O,,,,,,
Sm,Fe,Al,O,,,,,,
Cu,H,C,N,O,O,,,,
Sc,Ge,Os,O,,,,,,
Na,Sr,Al,P,O,F,O,,,
Ce,Te,O,,,,,,,
K,V,Cu,Cl,O,O,,,,
Ti,O,O,,,,,,,
Na,Co,F,O,,,,,,
K,As,W,O,O,,,,,
Si,O,O,,,,,,,
Rb,Fe,As,O,O,,,,,
Y,O,F,O,,,,,,
Na,Sr,V,O,O,,,,,
Nd,In,O,,,,,,,
Na,Mg,C,S,O,O,,,,
Sc,Ga,O,,,,,,,
Ho,W,O,O,,,,,,
Sm,Al,Cr,O,,,,,,
Rb,Zn,H,Se,O,O,,,,
Cr,B,Ir,O,,,,,,
Ce,Ni,Pb,O,,,,,,
Ge,La,Pt,O,,,,,,
Li,Ge,O,O,,,,,,
La,C,O,O,,,,,,
V,Ni,Sn,O,,,,,,
K,Mn,Sn,Se,O,,,,,
Na,Fe,O,C,K,O,,,,
La,In,Rh,O,,,,,,
Na,Sr,Ce,P,O,O,,,,
Ti,Mn,Ge,O,,,,,,
In,Sb,O,,,,,,,
Er,B,O,,,,,,,
Re,S,N,O,O,,,,,
Dy,Cu,Ge,Se,O,,,,,
Ni,Se,O,O,,,,,,
Ca,W,O,O,,,,,,
Tm,Cu,Ge,O,,,,,,
Ti,Tc,O,,,,,,,
Na,Se,O,O,,,,,,
Ti,Ni,Ge,O,,,,,,
Tm,Ag,Te,O,,,,,,
O,C,S,F,O,,,,,
Li,La,Ir,O,O,,,,,
Sr,Sn,Au,O,,,,,,
Pr,C,Cl,O,,,,,,
Cu,Si,O,O,,,,,,
Sr,U,O,,,,,,,
K,Mn,O,O,,,,,,
Ba,Ga,H,O,,,,,,
Cu,Mo,O,O,,,,,,
In,Rh,O,,,,,,,
U,Ni,Ge,O,,,,,,
Zr,Al,Pt,O,,,,,,
Re,O,Ba,Co,O,,,,,
N,Ni,H,O,O,,,,,
Fe,Ge,Yb,O,,,,,,
Cu,H,S,N,O,O,,,,
Hg,Bi,As,Cl,O,,,,,
Nb,Cr,O,,,,,,,
Mn,Pd,O,,,,,,,
Ho,Si,In,O,,,,,,
K,Cu,As,O,,,,,,
Rb,Cu,As,S,O,,,,,
H,O,Cu,F,O,,,,,
Ga,Au,O,,,,,,,
Er,O,,,,,,,,
Ge,Nd,Cu,O,,,,,,
N,Co,Cl,H,O,C,O,,,
Tm,Sn,Pt,O,,,,,,
Nb,Pt,O,,,,,,,
Zn,As,O,O,,,,,,
Tl,Se,O,O,,,,,,
Cs,Pr,S,O,,,,,,
Mn,O,I,Sb,O,,,,,
Cd,I,O,,,,,,,
Ba,Te,O,O,,,,,,
Pr,C,Br,O,,,,,,
Ni,H,C,B,O,,,,,
Cd,Bi,B,O,O,,,,,
Gd,Si,Ru,O,,,,,,
N,Na,Fe,C,Rb,O,,,,
K,P,O,,,,,,,
Th,H,O,C,O,,,,,
N,Cr,S,H,C,O,,,,
K,O,F,O,,,,,,
U,Mn,Se,O,,,,,,
Rb,Sb,F,O,,,,,,
Co,S,F,O,As,O,,,,
Cu,H,S,O,O,,,,,
Mn,Mo,O,O,,,,,,
Re,Te,Cl,O,O,,,,,
S,Cl,Sn,H,C,O,,,,
Cs,Ti,Cl,O,,,,,,
Fe,Ge,Er,O,,,,,,
P,H,O,O,,,,,,
Ba,Ge,P,O,,,,,,
Y,Fe,C,O,,,,,,
Na,Zr,Si,O,O,,,,,
Na,Si,F,O,,,,,,
Cs,Rb,C,O,,,,,,
Tb,Ru,Al,O,,,,,,
Pa,C,O,,,,,,,
Ba,Ge,P,O,,,,,,
V,Ag,Hg,O,O,,,,,
Sm,Sn,O,,,,,,,
Ce,Zn,Ni,O,,,,,,
K,Ho,Cu,S,O,,,,,
Na,Au,Se,O,,,,,,
Si,N,Cl,O,,,,,,
W,H,P,O,C,O,,,,
Sn,O,F,O,,,,,,
Li,Bi,Au,O,,,,,,
Pb,S,O,O,,,,,,
Mn,C,N,O,O,,,,,
K,Be,Pb,F,O,,,,,
Sr,Cu,Te,F,O,,,,,
Na,Dy,B,Te,O,O,,,,
O,Na,Ni,P,H,O,,,,
Ba,Ta,N,O,,,,,,
Ba,Tm,Ru,O,O,,,,,
Ni,P,Tm,O,,,,,,
Ca,Te,O,O,,,,,,
Y,Cu,Ge,O,,,,,,
Mg,O,S,Na,O,,,,,
Pd,S,O,O,,,,,,
Li,Sm,Ge,O,,,,,,
Zn,Fe,C,O,,,,,,
Re,Te,Se,Cl,O,,,,,
Re,W,O,,,,,,,
Ta,Ni,B,O,,,,,,
Eu,Ti,O,O,,,,,,
Mo,Fe,S,O,,,,,,
Sm,As,Au,O,O,,,,,
Cs,S,O,O,,,,,,
P,Pb,N,O,O,,,,,
Ba,Os,O,O,,,,,,
Zr,Fe,P,O,,,,,,
La,Si,Pt,O,,,,,,
Eu,Cd,O,,,,,,,
N,Cd,C,K,O,,,,,
Tm,P,Pt,O,,,,,,
Zr,Pb,C,O,,,,,,
Si,Pt,Ce,O,,,,,,
Ni,Si,Au,O,,,,,,
N,Pd,S,O,,,,,,
Cs,Na,Fe,P,Cl,O,O,,,
Th,Pd,O,,,,,,,
Pu,Ni,O,,,,,,,
N,Mn,Cl,H,O,C,O,,,
Fe,S,O,O,,,,,,
La,Sn,Ir,O,,,,,,
Si,O,O,,,,,,,
Cs,Hf,I,O,,,,,,
Ce,V,O,O,,,,,,
Ba,Eu,Sb,O,O,,,,,
La,In,O,,,,,,,
Mn,Se,H,O,Cs,O,,,,
B,H,N,O,,,,,,
K,Ga,P,O,F,O,,,,
U,Co,B,O,,,,,,
Te,Os,Cl,O,,,,,,
Sr,Cu,Cl,O,O,,,,,
Sm,O,Cu,Se,O,,,,,
U,Re,B,O,,,,,,
Sm,Pd,O,,,,,,,
Sb,O,F,O,,,,,,
Pr,Cr,Ge,O,,,,,,
Li,Ge,O,,,,,,,
Nd,In,N,O,,,,,,
Pr,Cu,O,O,,,,,,
Mg,C,O,O,,,,,,
Pb,F,O,,,,,,,
Mo,Li,O,Al,O,,,,,
Rb,S,O,,,,,,,
Mn,Si,B,O,,,,,,
Hf,H,O,F,O,,,,,
Hf,Zn,C,O,,,,,,
Cs,Ir,Cl,O,,,,,,
Cs,In,Hg,S,O,,,,,
Sm,Rh,O,,,,,,,
Na,Sn,Te,O,O,,,,,
Nd,Al,Ge,O,O,,,,,
Ca,Ga,Co,O,,,,,,
Na,Ni,O,O,,,,,,
Ti,Al,N,O,,,,,,
Cs,Nd,S,O,,,,,,
Dy,Co,B,O,,,,,,
Hf,Mo,As,O,,,,,,
La,Pd,Pb,O,,,,,,
Bi,As,O,O,,,,,,
Li,O,Na,Mo,H,O,,,,
Dy,In,Cu,O,,,,,,
Na,Li,B,O,O,,,,,
La,Mg,Al,Fe,O,,,,,
O,U,P,H,Sr,O,,,,
Mo,Ga,Se,O,,,,,,
Hf,Fe,Cl,O,,,,,,
Na,Al,Te,O,,,,,,
Tm,Al,Au,O,,,,,,
U,Cr,S,O,,,,,,
Os,Ce,B,O,,,,,,
Re,Cl,O,,,,,,,
Eu,B,Pt,O,,,,,,
Pr,Mn,B,O,,,,,,
Ba,I,O,O,,,,,,
Fe,F,O,,,,,,,
Lu,Pt,O,,,,,,,
Nd,Na,O,B,O,,,,,
Fe,Os,O,C,O,,,,,
Tl,H,Pt,C,N,O,O,,,
Sm,Ga,Co,O,,,,,,
Ni,Er,B,O,,,,,,
Tl,Hg,I,O,,,,,,
Sc,O,P,H,Cs,O,,,,
Zr,In,Co,O,,,,,,
Ba,Ho,O,O,,,,,,
Pr,Ni,C,O,,,,,,
K,Ga,As,O,,,,,,
C,B,H,O,Br,O,,,,
Nb,Sb,F,O,,,,,,
Bi,P,N,O,O,,,,,
Ge,P,O,Na,O,,,,,
Zr,Au,O,,,,,,,
Sr,Lu,Ru,O,O,,,,,
Rb,Pb,O,,,,,,,
Mg,V,O,O,,,,,,
N,O,Br,Co,O,,,,,
Yb,O,B,Co,O,,,,,
Eu,Cd,Au,O,,,,,,
Zr,P,O,K,O,,,,,
Si,Ca,O,Zn,O,,,,,
Zr,Sn,As,O,,,,,,
Nd,Co,O,O,,,,,,
N,H,O,C,Zn,O,,,,
Mo,Se,O,,,,,,,
Au,O,S,F,O,,,,,
Pr,Zn,Ni,O,,,,,,
N,Ru,O,K,O,,,,,
Sm,I,O,O,,,,,,
La,As,Pb,O,,,,,,
In,Te,O,,,,,,,
Zn,As,O,,,,,,,
Nd,Cd,Ga,O,,,,,,
Ce,Sb,Pd,O,,,,,,
Rb,Na,Al,F,O,,,,,
N,H,Na,Al,O,,,,,
Tb,Be,O,,,,,,,
Lu,Pt,O,,,,,,,
Dy,Mn,Sn,O,,,,,,
Sr,Mg,F,O,,,,,,
Li,Ca,Si,N,O,,,,,
S,H,P,O,C,As,O,,,
Ni,Re,H,O,O,,,,,
H,C,N,O,O,,,,,
Ti,Ni,P,O,,,,,,
O,Ce,Se,O,,,,,,
Nb,Ge,O,,,,,,,
Ir,Si,Tb,O,,,,,,
Yb,Si,Pt,O,,,,,,
Na,Sb,S,O,F,O,,,,
Yb,H,Cl,O,,,,,,
H,C,Zn,O,,,,,,
Pr,Ni,Sb,O,,,,,,
Sr,P,O,Cu,O,,,,,
K,Y,O,B,O,,,,,
Ca,Fe,As,F,O,,,,,
In,Sb,S,Br,O,,,,,
Ba,Ca,Pb,O,,,,,,
Tl,As,S,O,,,,,,
Na,In,Si,S,O,,,,,
K,Y,F,O,,,,,,
Mn,H,B,O,,,,,,
Si,Co,Yb,O,,,,,,
Rb,O,,,,,,,,
Rb,Mg,P,O,O,,,,,
Dy,S,I,O,,,,,,
Ca,Si,Pd,O,,,,,,
Hg,N,Cl,O,,,,,,
Te,Au,Cl,O,,,,,,
Mg,B,Ir,O,,,,,,
B,H,C,O,,,,,,
Ge,Yb,Cu,O,,,,,,
Os,O,F,O,,,,,,
Li,B,H,O,,,,,,
Cu,As,H,O,F,O,,,,
Rb,Ga,S,O,,,,,,
Mo,H,Cl,O,O,,,,,
Ce,Si,Pd,O,,,,,,
Na,In,O,,,,,,,
Li,Al,Pt,O,,,,,,
Ti,P,O,Tl,O,,,,,
Ta,S,O,,,,,,,
Ni,Er,Al,O,,,,,,
K,Cr,O,O,,,,,,
Er,P,O,Cs,O,,,,,
Nd,V,O,O,,,,,,
Nd,Fe,Ag,O,,,,,,
Ce,Cd,Ni,O,,,,,,
Nd,Mn,Ge,O,,,,,,
Li,Ni,P,O,O,,,,,
U,Si,Co,O,,,,,,
N,O,Pb,O,,,,,,
Ag,Mn,O,O,,,,,,
Al,P,O,O,,,,,,
Ga,H,C,O,,,,,,
Ca,Hg,O,,,,,,,
P,Sr,Ga,O,,,,,,
Na,Br,N,O,,,,,,
Pr,Cd,Fe,O,,,,,,
B,H,O,,,,,,,
Ge,Eu,Rh,O,,,,,,
Re,Mo,O,,,,,,,
Li,Al,Ge,O,O,,,,,
Nd,H,S,N,O,O,,,,
K,Pd,Br,O,,,,,,
Ga,Rh,O,,,,,,,
Mn,Sb,Pd,O,,,,,,
Nb,Te,Pd,O,,,,,,
Ca,Ge,O,O,,,,,,
Tm,Ag,O,,,,,,,
Mg,Mn,O,Cu,O,,,,,
Gd,Sn,Pt,O,,,,,,
Ce,Ga,O,O,,,,,,
Zr,Ge,O,,,,,,,
Sm,Fe,P,O,,,,,,
Y,Ni,Bi,O,,,,,,
V,N,O,O,,,,,,
Rb,Bi,Br,O,,,,,,
Si,O,O,,,,,,,
Dy,Mg,Ge,O,,,,,,
In,Pd,Se,O,,,,,,
V,H,C,O,O,,,,,
N,Co,Cl,O,,,,,,
Tm,In,Rh,O,,,,,,
Zr,Cu,Pb,O,,,,,,
Ca,Mn,Ga,O,O,,,,,
Ni,O,Cl,O,,,,,,
Ba,Dy,In,Se,O,,,,,
K,Zr,S,O,,,,,,
Rb,Cu,Cl,O,,,,,,
P,C,N,Cl,O,,,,,
Si,O,O,,,,,,,
Cs,P,N,O,,,,,,
Ir,Ge,La,Tm,O,,,,,
Zr,Ni,Sb,O,,,,,,
Er,Ge,O,,,,,,,
Ni,Bi,As,O,O,,,,,
La,Br,S,Sb,O,,,,,
Zr,Co,Si,O,,,,,,
N,Ga,Na,F,H,O,,,,
Ba,V,O,O,,,,,,
S,Cu,Nd,Te,O,O,,,,
Tb,Fe,P,O,,,,,,
Ga,Fe,Se,O,,,,,,
Nd,Co,P,O,,,,,,
Gd,In,Ni,O,,,,,,
K,Nb,O,O,,,,,,
Fe,P,O,O,,,,,,
La,Sb,Br,O,,,,,,
Ho,B,O,O,,,,,,
H,S,F,La,O,C,O,,,
Sr,V,O,O,,,,,,
H,Au,C,S,N,O,O,,,
Cr,C,O,,,,,,,
Ca,Si,C,O,O,,,,,
Li,Fe,Cl,O,,,,,,
Sm,Fe,S,O,,,,,,
Cr,Co,H,N,Cl,O,O,,,
Zr,Ni,Pr,As,O,,,,,
Br,Ba,F,O,,,,,,
Lu,B,C,O,,,,,,
Sn,Ca,Cu,O,,,,,,
Ba,Ni,S,O,,,,,,
I,Cl,O,,,,,,,
Cd,As,O,,,,,,,
Ba,Re,O,O,,,,,,
Nd,Cr,S,O,O,,,,,
Cs,Ga,Cl,O,,,,,,
Zr,Fe,Mo,O,,,,,,
Er,Ge,Ru,O,,,,,,
O,S,K,Al,O,,,,,
Sm,B,P,O,O,,,,,
N,Cu,Tl,Y,O,O,,,,
Th,Cl,O,,,,,,,
P,O,Zn,O,,,,,,
Dy,S,O,,,,,,,
Nd,Ag,O,,,,,,,
U,Ni,O,B,O,,,,,
Ti,Si,Ni,O,,,,,,
Yb,B,Pd,O,,,,,,
Cu,Mo,Br,O,,,,,,
Mn,As,H,O,O,,,,,
Na,Fe,O,O,,,,,,
Sn,Cu,Tm,O,,,,,,
Re,H,C,S,N,Cl,O,O,,
Pr,Re,O,O,,,,,,
Mg,Al,O,,,,,,,
Cu,O,O,,,,,,,
Cu,Na,H,O,C,O,,,,
Co,Ni,Sn,O,,,,,,
Cs,Al,Pd,F,O,,,,,
N,S,Ni,H,O,C,O,,,
Si,O,Na,Al,H,O,,,,
V,Cd,O,O,,,,,,
Sn,Se,O,,,,,,,
Ba,Fe,O,O,,,,,,
Na,Ca,As,O,O,,,,,
Au,S,Na,H,O,C,O,,,
V,H,N,Cl,O,,,,,
Co,W,O,,,,,,,
Ag,P,H,O,O,,,,,
K,P,O,O,,,,,,
N,C,Cl,Rh,O,,,,,
Sr,H,Cl,O,O,,,,,
Li,Ge,F,O,,,,,,
Zr,Fe,Ge,O,,,,,,
Cl,Al,H,O,C,O,,,,
Hg,C,O,F,O,,,,,
Te,Pb,O,,,,,,,
Fe,Dy,Ga,O,,,,,,
Sr,C,O,,,,,,,
La,Co,O,O,,,,,,
Tb,Cr,B,O,,,,,,
Au,Se,Cl,O,O,,,,,
U,O,F,O,,,,,,
Lu,B,C,O,,,,,,
Na,Nb,O,O,,,,,,
Co,P,O,O,,,,,,
La,S,O,,,,,,,
Ba,V,O,O,,,,,,
P,Cl,O,,,,,,,
K,Na,Os,O,O,,,,,
Sr,Ge,Se,O,,,,,,
Nb,Bi,O,,,,,,,
Ni,O,Sn,B,O,,,,,
Y,H,S,O,O,,,,,
Li,Mo,O,O,,,,,,
Ga,Hg,Cl,O,,,,,,
Ce,Mn,Cu,P,O,,,,,
Ho,Bi,O,,,,,,,
Mn,V,Sb,O,O,,,,,
K,Hg,As,O,,,,,,
La,Si,I,O,,,,,,
Ca,P,Cu,Zn,O,,,,,
Y,Si,Ru,O,,,,,,
Pr,O,S,K,O,,,,,
Re,C,S,O,O,,,,,
Au,O,S,Na,O,,,,,
Ni,S,O,,,,,,,
Fe,S,O,,,,,,,
Ce,Zn,O,,,,,,,
Tb,Ni,C,O,,,,,,
Y,C,O,,,,,,,
Co,Te,Br,O,O,,,,,
Ba,In,Ir,O,O,,,,,
Ba,Na,Nb,O,O,,,,,
Cr,As,O,O,,,,,,
Cu,Ag,P,S,O,,,,,
Hg,Te,O,O,,,,,,
V,Hg,O,O,,,,,,
Cu,K,As,O,O,,,,,
Mn,As,O,Rb,O,,,,,
Rb,Tl,O,O,,,,,,
Lu,Se,O,,,,,,,
Th,Mo,O,O,,,,,,
Ce,Cd,O,,,,,,,
Eu,Ni,P,O,,,,,,
Mg,In,O,,,,,,,
Er,Ru,C,O,,,,,,
Sb,Rh,Se,O,,,,,,
Ba,Ni,Sb,O,O,,,,,
Er,Ge,Rh,O,,,,,,
Dy,Al,Ge,O,,,,,,
K,Sn,Se,O,,,,,,
K,Sm,H,S,O,O,,,,
As,Pd,S,O,,,,,,
Sc,P,O,K,Cs,O,,,,
Si,Mn,Yb,O,,,,,,
Ir,O,,,,,,,,
Pb,Se,O,O,,,,,,
Sc,Te,O,,,,,,,
Pr,In,Ni,O,,,,,,
K,Al,As,O,,,,,,
Li,Sm,Bi,O,,,,,,
Y,In,Au,O,,,,,,
Sm,Co,Se,Cl,O,O,,,,
Mo,V,S,O,,,,,,
Te,O,Pb,Co,O,,,,,
Si,C,O,,,,,,,
Sr,Mn,Cu,S,O,O,,,,
Sm,Cu,Se,O,,,,,,
Ba,Yb,In,Se,O,,,,,
Ba,Er,O,O,,,,,,
Hf,Sb,O,,,,,,,
Er,Si,S,O,O,,,,,
Zr,In,Au,O,,,,,,
Li,Al,Pt,O,,,,,,
Tl,B,Se,O,,,,,,
Nd,Bi,O,,,,,,,
Na,Mg,S,O,O,,,,,
Pr,Fe,Sb,O,,,,,,
Pr,In,Sb,S,O,,,,,
Te,Au,O,,,,,,,
K,Ce,F,O,,,,,,
Sr,H,Ru,O,,,,,,
Fe,Ca,Al,O,,,,,,
Ho,Cu,Sn,S,O,,,,,
Tl,Mo,O,O,,,,,,
Ca,Mn,O,O,,,,,,
Ho,Te,Cl,O,O,,,,,
Ba,Te,F,O,,,,,,
Sr,Zn,Sb,O,,,,,,
Na,Ho,P,O,O,,,,,
Pu,Pb,O,,,,,,,
Er,Ge,Os,O,,,,,,
Si,P,O,Re,O,,,,,
K,P,H,O,O,,,,,
Na,Mg,P,O,O,,,,,
La,Ge,S,O,,,,,,
Sr,Mg,H,O,,,,,,
Mn,Ga,O,,,,,,,
Mn,Ni,O,O,,,,,,
La,Pd,O,O,,,,,,
Ba,Nd,Ni,O,O,,,,,
Ho,Pt,O,,,,,,,
Ho,Si,Pt,O,,,,,,
Eu,Si,O,O,,,,,,
Fe,Si,O,C,O,,,,,
Eu,Bi,O,,,,,,,
Ce,Al,Zn,S,O,,,,,
K,Tl,O,,,,,,,
La,Cd,Pt,O,,,,,,
Tl,H,C,Br,N,O,,,,
Na,B,O,,,,,,,
K,Ge,Se,O,,,,,,
Eu,Ge,Pt,O,,,,,,
Nd,As,O,,,,,,,
O,I,K,O,,,,,,
Cs,Nb,S,O,,,,,,
Sr,Cr,Cl,O,O,,,,,
As,I,F,O,,,,,,
Cs,In,S,O,,,,,,
U,Te,O,,,,,,,
B,H,C,N,O,O,,,,
Al,Fe,F,O,,,,,,
Al,Si,O,O,,,,,,
Al,P,O,F,O,,,,,
Hf,Bi,O,,,,,,,
Hf,Os,O,,,,,,,
Cs,V,O,F,O,,,,,
Re,O,O,,,,,,,
Li,P,O,Mn,O,,,,,
Yb,Zn,O,,,,,,,
N,S,F,Cd,O,C,As,O,,
Ac,H,O,,,,,,,
N,Pd,O,K,O,,,,,
Li,Zn,O,O,,,,,,
Mg,S,O,O,,,,,,
Tl,Pd,Se,O,,,,,,
Li,Pb,Au,O,,,,,,
K,Cd,O,O,,,,,,
Sc,Sn,Au,O,,,,,,
O,B,Cu,P,H,O,,,,
Ho,Ge,Mn,O,,,,,,
N,Co,H,C,Rb,O,,,,
Ho,Ni,O,,,,,,,
Hg,Te,O,F,O,,,,,
Nb,N,O,,,,,,,
P,O,,,,,,,,
Ni,Te,O,O,,,,,,
Cs,Au,Cl,O,,,,,,
Ho,Si,Ni,O,,,,,,
Ca,N,Cl,O,,,,,,
Si,Re,Al,O,,,,,,
Mo,Y,O,K,O,,,,,
V,Co,Ni,O,,,,,,
W,Fe,Cl,O,,,,,,
Ge,Co,Gd,O,,,,,,
Pr,In,O,,,,,,,
Al,Cr,O,,,,,,,
Ce,C,Cl,O,,,,,,
Ag,H,C,S,Br,N,O,O,,
Ba,Cu,Te,Br,O,O,,,,
Na,Zn,P,O,O,,,,,
W,Bi,O,K,O,,,,,
Mo,Fe,O,O,,,,,,
Zr,Co,P,O,,,,,,
Dy,O,I,O,,,,,,
Ge,O,K,Zn,O,,,,,
Sr,Li,Co,N,O,,,,,
Hg,H,N,Cl,O,O,,,,
La,Mn,Ni,O,O,,,,,
Na,Se,Ni,H,O,O,,,,
Tl,Mo,Cl,O,O,,,,,
Mn,S,O,,,,,,,
K,Pb,O,,,,,,,
Mo,Sm,Se,O,,,,,,
Mo,Rb,O,Zr,O,,,,,
Mg,Fe,B,Ir,O,,,,,
P,O,Mn,O,,,,,,
Mo,S,Sn,O,,,,,,
H,B,Rb,O,,,,,,
Dy,Si,O,,,,,,,
Al,P,N,Cl,O,,,,,
Tm,Si,O,,,,,,,
Mo,H,N,O,O,,,,,
Mo,Th,O,Rb,O,,,,,
Cu,H,Cl,O,O,,,,,
Yb,Sb,O,,,,,,,
Nb,Se,Br,O,,,,,,
Ho,Ge,Ru,O,,,,,,
S,Al,H,P,O,O,,,,
Ba,Ru,O,O,,,,,,
Ho,Ni,Ge,O,,,,,,
Mg,Ni,H,O,,,,,,
Na,Re,O,O,,,,,,
Er,Zn,O,,,,,,,
Y,S,Ce,O,,,,,,
Ca,Au,O,,,,,,,
Tb,Hf,Al,O,,,,,,
Sb,Br,O,,,,,,,
N,As,S,F,O,,,,,
Na,V,O,F,O,,,,,
P,S,Hf,O,,,,,,
Cu,Ge,Se,O,,,,,,
Y,Ga,Ru,O,,,,,,
Ho,B,Os,O,,,,,,
Na,V,O,O,,,,,,
N,C,Cd,S,O,,,,,
Na,Ti,P,N,O,O,,,,
Pr,P,S,O,,,,,,
Cs,Hf,Se,O,,,,,,
Li,Si,B,O,,,,,,
Al,V,O,,,,,,,
Sm,S,O,,,,,,,
Er,Ga,Ni,S,O,,,,,
Cu,Sb,Pb,S,O,,,,,
Th,Zn,O,,,,,,,
Fe,P,O,O,,,,,,
V,P,O,O,,,,,,
Cs,Sn,Te,O,,,,,,
Eu,Mn,Sb,O,,,,,,
Si,O,O,,,,,,,
Cu,H,C,O,O,,,,,
Si,Li,O,Rb,O,,,,,
Bi,O,B,O,,,,,,
Cs,P,O,,,,,,,
N,Ga,H,P,O,C,O,,,
Fe,O,Cu,Se,O,,,,,
Ti,Hg,O,,,,,,,
Li,S,B,Ba,O,,,,,
Zr,Co,B,O,,,,,,
Cs,Si,S,O,,,,,,
K,Pd,O,O,,,,,,
N,Pd,H,O,O,,,,,
H,C,N,Cl,O,,,,,
Li,O,Na,Mo,H,O,,,,
Na,P,H,S,O,O,,,,
N,Co,C,Sr,O,,,,,
Mo,S,O,,,,,,,
N,Te,H,Zn,O,,,,,
Cd,I,O,,,,,,,
K,Ti,Se,O,,,,,,
Mg,P,O,O,,,,,,
Dy,S,O,,,,,,,
La,B,O,,,,,,,
Tl,Se,O,O,,,,,,
Ba,Dy,Zn,Pt,O,O,,,,
Tl,Te,O,,,,,,,
Gd,Cu,O,,,,,,,
Hf,Mn,Ge,O,,,,,,
N,Co,H,O,I,O,,,,
In,Ge,Ir,O,O,,,,,
Tb,Si,Ru,O,,,,,,
Er,Ge,C,O,,,,,,
Sr,Cl,O,,,,,,,
N,O,Cs,Co,O,,,,,
Dy,Ni,O,,,,,,,
Er,Mo,H,Se,O,O,,,,
V,Ga,Sn,O,,,,,,
Zr,Cu,Hg,O,,,,,,
N,Pr,O,Rb,O,,,,,
K,V,P,O,O,,,,,
La,H,S,N,O,O,,,,
H,N,O,O,,,,,,
Ce,Mn,N,O,,,,,,
Mn,O,O,,,,,,,
Lu,Cu,S,O,,,,,,
Mg,Ga,Au,O,,,,,,
V,Pb,Cl,O,O,,,,,
Lu,Zn,Sn,O,,,,,,
Th,Tc,O,,,,,,,
Sr,Dy,Rh,O,O,,,,,
V,Sn,Rh,O,,,,,,
Ba,H,Os,O,,,,,,
Sm,Mg,Pt,O,,,,,,
Fe,H,P,O,C,K,O,,,
N,Sc,F,O,,,,,,
K,Mo,S,O,O,,,,,
Tl,Cr,Ag,O,O,,,,,
Zn,B,O,O,,,,,,
Mg,H,Eu,O,,,,,,
Ti,Be,O,,,,,,,
Ni,Ca,O,O,,,,,,
Rb,Te,Pt,O,,,,,,
Ni,As,O,,,,,,,
Sr,Ga,N,O,,,,,,
Zr,N,O,,,,,,,
Fe,H,C,N,Cl,O,O,,,
P,O,Cs,F,O,,,,,
N,Pt,Cl,O,,,,,,
Er,Cr,Te,O,O,,,,,
O,Cu,Rh,O,,,,,,
Gd,B,Rh,C,O,,,,,
Ca,As,O,O,,,,,,
Ce,Re,Si,O,,,,,,
K,Hg,H,I,O,O,,,,
Na,Si,Sn,O,F,O,,,,
K,Al,As,O,,,,,,
Na,Gd,Ti,O,O,,,,,
Na,Ti,Se,O,,,,,,
O,C,Co,O,,,,,,
Cs,Ce,Si,S,O,,,,,
Ce,Se,O,,,,,,,
Pr,Mn,As,O,,,,,,
Sc,Se,O,F,O,,,,,
Pb,Br,N,O,O,,,,,
K,Ge,F,O,,,,,,
N,Ca,Ga,O,,,,,,
Pr,Cd,Ni,O,,,,,,
Zn,S,O,,,,,,,
S,O,O,,,,,,,
Pu,Sb,Te,O,,,,,,
Si,Rh,O,,,,,,,
Si,Os,Nd,O,,,,,,
Cs,I,O,O,,,,,,
Ge,Er,Rh,O,,,,,,
Ca,Si,O,O,,,,,,
Y,B,H,C,S,O,,,,
Er,Co,Ni,O,,,,,,
Sm,Ta,O,O,,,,,,
Ba,Ca,Cr,F,O,,,,,
K,Nd,Ir,O,O,,,,,
N,Ni,C,Tl,O,,,,,
