LAMMPS data file via write_data, version 7 Aug 2019, timestep = 6000

430 atoms
2 atom types

0.0000000000000000e+00 2.0000000000000000e+01 xlo xhi
0.0000000000000000e+00 2.0000000000000000e+01 ylo yhi
0.0000000000000000e+00 5.0000000000000000e+01 zlo zhi

Masses

1 180.95
2 15.999

Atoms # charge

414 2 3.9912028309949915e-01 4.8009188334790416e+00 3.5145836413265394e+00 4.9801851437296804e+01 0 0 -1
386 2 4.0219022779175340e-01 1.0414680880994485e+01 9.3765503149240654e+00 4.9804001215782236e+01 0 0 0
423 2 3.9961164655143272e-01 1.2765294503577019e+01 5.0713724045938315e+00 4.9814451490152834e+01 0 0 -1
408 2 4.0384244925521623e-01 4.8499743617147200e+00 1.5391969869777125e+01 4.9797578912046312e+01 0 0 0
380 2 4.0433242655642226e-01 1.2605673965981122e+01 1.9740595219490505e+01 4.9803432884017134e+01 0 -1 0
430 2 4.0154588882430270e-01 1.5117906965205449e+01 1.4968417826211491e+01 4.9819988119998179e+01 0 0 -1
1 1 5.0227549923727830e+00 1.5150868292828907e+00 1.5151748369667477e+00 5.7584294716343871e+00 0 0 0
2 1 5.0275421336091046e+00 4.8705523978955805e+00 1.5075687387823709e+00 5.6237913301597127e+00 0 0 0
3 1 5.0307223537762438e+00 8.2416669751587133e+00 1.5183006304039863e+00 5.6171588684724876e+00 0 0 0
7 1 5.0282801577262450e+00 1.5076239678666179e+00 4.8704494476446021e+00 5.6236462654704136e+00 0 0 0
8 1 5.0301173579496936e+00 4.8848652198342766e+00 4.8849760215687441e+00 5.5112942420573034e+00 0 0 0
9 1 5.0307449137454139e+00 8.2480542795427567e+00 4.8948971739471014e+00 5.5367389933958018e+00 0 0 0
13 1 5.0308721686324906e+00 1.5186780055915674e+00 8.2415517540567134e+00 5.6173934599575555e+00 0 0 0
14 1 5.0306981041754026e+00 4.8949841995975989e+00 8.2483007807376936e+00 5.5363545242293908e+00 0 0 0
15 1 5.0308373887969795e+00 8.2523346488562996e+00 8.2527148447582448e+00 5.5763114548239221e+00 0 0 0
37 1 2.7933126967867365e+00 1.0767782960604544e+00 1.0767565600332067e+00 1.5259145799759883e+01 0 0 0
39 1 4.2985200247779503e+00 3.2481325118459576e+00 1.1444073143925377e+00 1.2248046899122231e+01 0 0 0
41 1 4.2424433585303545e+00 6.6119760788894908e+00 1.1984185432295102e+00 1.2209850367932885e+01 0 0 0
43 1 4.2228996410075448e+00 9.9173809728359217e+00 1.2025186724051742e+00 1.2264515670491825e+01 0 0 0
50 1 4.2984204160372359e+00 1.1444592568190968e+00 3.2481316521899877e+00 1.2248284507175857e+01 0 0 0
52 1 5.0337876378970350e+00 3.1755868135450935e+00 3.1755835203904930e+00 9.4489307977593775e+00 0 0 0
54 1 5.0183991554978142e+00 6.5957168947249238e+00 3.3136899110144702e+00 9.7329057495017715e+00 0 0 0
56 1 5.0156016514499315e+00 9.9173708645547798e+00 3.3284142477580225e+00 9.7658923796134900e+00 0 0 0
63 1 4.2425074263588147e+00 1.1984671360391632e+00 6.6119722018399392e+00 1.2209863672484676e+01 0 0 0
65 1 5.0183435588436920e+00 3.3137489155866420e+00 6.5957304298933011e+00 9.7329615156627849e+00 0 0 0
67 1 5.0122866736249296e+00 6.6358704860921325e+00 6.6359076792353626e+00 1.0102740204746206e+01 0 0 0
69 1 5.0092559272017496e+00 9.9173587507285177e+00 6.6472625589677010e+00 1.0141571472783378e+01 0 0 0
76 1 4.2228849112578040e+00 1.2026231198164012e+00 9.9173950115177476e+00 1.2264845881160074e+01 0 0 0
78 1 5.0156034253141257e+00 3.3285104346466095e+00 9.9174175712720043e+00 9.7658816034927174e+00 0 0 0
80 1 5.0092287791702672e+00 6.6472428832855908e+00 9.9174498993073019e+00 1.0141444208309514e+01 0 0 0
82 1 5.0061601179420832e+00 9.9173361783711851e+00 9.9174447818557780e+00 1.0182508009654526e+01 0 0 0
4 1 5.0303032737823559e+00 1.1593090803132252e+01 1.5183251733940999e+00 5.6170681982282558e+00 0 0 0
5 1 5.0281121792301464e+00 1.4964352444275967e+01 1.5077198779549255e+00 5.6235124317929763e+00 0 0 0
6 1 5.0228393778256457e+00 1.8319660014779888e+01 1.5152970318923085e+00 5.7581861099549956e+00 0 0 0
10 1 5.0307547774748649e+00 1.1586607622170961e+01 4.8947732303868765e+00 5.5368226116059533e+00 0 0 0
11 1 5.0301047711674638e+00 1.4950069563538767e+01 4.8847139313053818e+00 5.5113077334009724e+00 0 0 0
